FS002REC,FS003REC,FS004REC,FS005REC,FS006REC,FS007REC,FS008REC,FS009REC,FS010REC,FS011REC,FS012REC,FS014REC,FS015REC,FS016REC,FS017REC,FS018REC,FS020REC,FS021REC,FS022REC,FS023REC,FS024REC,FS025REC,FS026REC,FS028REC,FS029REC,FS030REC,FS031REC,FS032REC,FS033REC,FS034REC,FS035REC,FS036REC,FS037REC,FS038REC,FS039REC,FS040REC
0.0,0.01259422794380475,3.0905106417568593,6.993485654111774,4.938720841817425,6.826896148888133,6.841931338369266,1.0815016332957257,2.6548958559242526,6.434676608236468,2.6842062392700865,3.2805532503423462,8.440009332071588,7.263806843983926,7.265546467826112,2.95769946084331,4.462788693003158,4.758580143773753,3.9957920623393344,7.816082132972415,3.382350166814594,7.524963990132405,7.530788927634775,8.705821476335666,10.194615959848292,10.613470200943642,2.6613156877109985,2.7087618105218927,6.430814015321361,4.860665917125388,4.765504703308628,4.152929070700765,2.6548958559242526,9.653161413036207,9.653161413036207,7.553313611405895
0.01259422794380475,0.0,3.0982788346001224,7.001098392825268,4.945838248607825,6.839161760844346,6.8541935256394595,1.0927239788390446,2.6669589212174394,6.442972396379956,2.693497238151305,3.2868898736288203,8.44919741805105,7.275608178063652,7.277328429502283,2.968822752008887,4.465980483246126,4.770737163321287,4.007016048697089,7.823601872656558,3.392603866271398,7.533902921374699,7.539792285023218,8.713182654045127,10.207172846479704,10.626045697606372,2.6610861033625524,2.7083794659009346,6.443295470561437,4.86492118500753,4.7707603798342655,4.157965295089258,2.6669589212174394,9.660515679716893,9.660515679716893,7.565687172581958
3.0905106417568593,3.0982788346001224,0.0,3.9035733911519515,1.8647973776406235,6.198108653765635,6.2152140895924,3.076157168263591,3.263641958339697,3.3532357981249277,4.251562320135803,0.4769909139240728,5.406950820679613,4.904470878565444,4.895643859000049,3.8904288792841566,6.798842608173338,4.55883705410458,4.562407767926447,9.135606860516386,4.483722145792019,4.4755084361348905,4.486187264338958,5.619030583572723,8.425293629551549,9.203074864489304,5.459272458104733,5.514848279248601,4.74047010642907,7.017484202312849,6.769234795795995,6.249258651986522,3.263641958339697,6.566291774415396,6.566291774415396,5.613111485409775
6.993485654111774,7.001098392825268,3.9035733911519515,0.0,2.074705040940833,7.526414711059344,7.541311468138145,6.888405103492517,6.557975073106959,0.7297491467418122,7.723321004448651,3.7591808756401965,1.9415946844469252,3.985443902043825,3.9560987587754215,7.148233705955381,10.366692856949708,6.828809460740394,7.419078248583626,11.855364561876794,7.6834396914660035,1.146817583634315,1.1968056734050083,1.7231573956420068,7.631101282684903,8.859743793084414,9.279973778584358,9.336841664854479,5.181779735058148,10.475450222241019,10.157412624604447,9.728055354753394,6.557975073106959,2.667805918249401,2.667805918249401,5.2510972098552235
4.938720841817425,4.945838248607825,1.8647973776406235,2.074705040940833,0.0,6.825557629005958,6.842173577148752,4.921402820602803,4.848161128558704,1.6388807076407916,5.947971277256864,1.6846782712305677,3.7716115301580952,4.303468164410891,4.283733901290656,5.469931775002869,8.558852904328202,5.620055117068864,5.942936721904798,10.518961754631416,6.044389727544378,2.8306667248608144,2.8544262524489876,3.770419076206654,8.078934049831037,9.093523471133937,7.312784733345869,7.3688021584466465,4.8183848056802,8.730270193646726,8.448757523574328,7.966853841524135,4.848161128558704,4.717232214709231,4.717232214709231,5.347409265749658
6.826896148888133,6.839161760844346,6.198108653765635,7.526414711059344,6.825557629005958,0.0,0.01711261106772458,5.7835144775632035,4.1806079654202675,6.835598266330035,4.678605534239132,6.654697018444631,7.342878883919086,4.092430174510103,4.12247090483855,4.040777787077893,6.178051215546034,2.078166232323096,3.0999742052447417,5.122718232062788,3.91895533428298,6.9789215443324295,6.936618220457459,8.758430196457907,4.221018411129334,4.067021801623411,6.794535088687933,6.8355255891297215,2.425895614487016,5.854449793896107,5.431708679175299,5.4798800230589695,4.1806079654202675,9.444893029122545,9.444893029122545,3.0587318832889916
6.841931338369266,6.8541935256394595,6.2152140895924,7.541311468138145,6.842173577148752,0.01711261106772458,0.0,5.798165658372348,4.195308366905478,6.85076327193179,4.690736193837237,6.671809148228783,7.355104021846961,4.1033332977960715,4.133408108331471,4.054014730788874,6.184397274719107,2.09250378624271,3.1117610080338625,5.117205670219836,3.930473877042988,6.992508098042442,6.950151642696472,8.77191716634151,4.216704377390361,4.057356783868055,6.805296093031067,6.8462076902207745,2.438680518200132,5.859529238354704,5.4368781871158625,5.4868562751981615,4.195308366905478,9.457589719333757,9.457589719333757,3.0665557776038646
1.0815016332957257,1.0927239788390446,3.076157168263591,6.888405103492517,4.921402820602803,5.7835144775632035,5.798165658372348,0.0,1.6031191291242015,6.261304179344311,1.666552934916867,3.4005939776850957,8.139814638762127,6.583163545798495,6.588758710629126,1.876400150672191,3.8286971927624744,3.707445923763738,2.9142940457017867,6.862642877019866,2.3179004050225718,7.263226929407459,7.261228088404279,8.61093914351557,9.290324543908605,9.635649203310875,2.3941899777037934,2.450690623032543,5.577294509813616,4.138723304537035,3.973162799340318,3.3869971327411306,1.6031191291242015,9.552338860390627,9.552338860390627,6.732685794593011
2.6548958559242526,2.6669589212174394,3.263641958339697,6.557975073106959,4.848161128558704,4.1806079654202675,4.195308366905478,1.6031191291242015,0.0,5.85903242190387,1.1929643387638023,3.712315974674689,7.47129390476237,5.393307269864778,5.404459656197702,0.6288418587243928,3.8261821034458947,2.105959168854596,1.4623431266210731,5.902329833269531,1.220359718020628,6.681532386787662,6.667826703950259,8.233716942853826,7.777868104762123,8.057399507274997,3.215715954039779,3.270451800883881,4.160783413182866,3.918301255155867,3.611991810896959,3.1707127258677983,0.0,9.142158389333831,9.142158389333831,5.340641464389436
6.434676608236468,6.442972396379956,3.3532357981249277,0.7297491467418122,1.6388807076407916,6.835598266330035,6.85076327193179,6.261304179344311,5.85903242190387,0.0,7.0321300598554295,3.2757601425622136,2.1333195826327667,3.4534490270277405,3.4260581938140984,6.442410558879776,9.676575868255563,6.099656664977935,6.693828063513749,11.125788981939667,6.971160977413873,1.1947417386200625,1.2216776689148068,2.3790715757011895,7.186016767776628,8.360604401128994,8.644798559703014,8.701958111352612,4.5224994484707715,9.773135623181615,9.44985327739261,9.029651934763379,5.85903242190387,3.3049103123665358,3.3049103123665358,4.685461515776979
